PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7305405, -117.1810577, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7305405, -117.1810577, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7305405, -117.1810577, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7305405, -117.1810577, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7305405, -117.1810577, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7305405, -117.1810577, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7302748, -117.1800608, 59, 122, 'Images/RouteBus_59_120_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:56 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7302748, -117.1800608, 59, 122, 'Images/RouteBus_59_120_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:29:56 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7303243, -117.179573, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:30:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7303243, -117.179573, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:30:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7303243, -117.179573, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:30:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7303243, -117.179573, 59, 36, 'Images/RouteBus_59_040_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:30:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7304955, -117.1794188, 59, 31, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:30:25 PM')]);
