PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7213145, -117.1786008, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7213145, -117.1786008, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7228612, -117.1784325, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:23 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7228612, -117.1784325, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:23 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7229652, -117.1784308, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:33 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7229652, -117.1784308, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:33 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7229652, -117.1784308, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:33 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7231603, -117.1784232, 60, 15, 'Images/RouteBus_60_020_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7231603, -117.1784232, 60, 15, 'Images/RouteBus_60_020_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.723159, -117.1770563, 60, 92, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.723159, -117.1770563, 60, 92, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7231118, -117.1764492, 60, 96, 'Images/RouteBus_60_100_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7231147, -117.1759727, 60, 84, 'Images/RouteBus_60_080_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7231147, -117.1759727, 60, 84, 'Images/RouteBus_60_080_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7231147, -117.1759727, 60, 84, 'Images/RouteBus_60_080_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7231147, -117.1759727, 60, 84, 'Images/RouteBus_60_080_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7238628, -117.1749218, 60, 26, 'Images/RouteBus_60_030_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7238628, -117.1749218, 60, 26, 'Images/RouteBus_60_030_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7245292, -117.1747405, 60, 4, 'Images/RouteBus_60_000_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7250267, -117.1747243, 60, 1, 'Images/RouteBus_60_000_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7250267, -117.1747243, 60, 1, 'Images/RouteBus_60_000_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7250267, -117.1747243, 60, 1, 'Images/RouteBus_60_000_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:19:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7259575, -117.1746092, 60, 351, 'Images/RouteBus_60_350_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:00 PM')]);
